parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,11252,21,0.7142857142857143,True,12.812734794759011,12.650692016845873,12.812734794759011,True,7.650692016845873,True,12.812734794759011,True,24.67242979889327
primary,unconstrained,11253,18,0.8333333333333334,True,8.010469196598894,7.752835552308706,8.010469196598894,True,5.752835552308705,True,8.010469196598894,True,18.515017462169673
primary,unconstrained,11254,19,0.7894736842105263,True,9.047634393712519,8.623979520923728,9.047634393712519,True,6.6239795209237275,True,9.047634393712519,True,21.176238685493182
primary,unconstrained,11255,16,0.55,True,10.350068488685906,9.93705022766223,10.350068488685906,True,4.937050227662231,True,10.350068488685906,True,20.315059152114024
primary,unconstrained,11256,18,0.7368421052631579,True,8.165347978456062,7.0744267919871575,8.165347978456062,True,7.0744267919871575,True,8.165347978456062,True,18.3133062739785
primary,unconstrained,11257,20,0.75,True,13.261279820974687,12.636838854496535,13.261279820974687,True,6.636838854496533,True,13.261279820974687,True,24.84608727037935
primary,unconstrained,11258,19,0.7894736842105263,True,9.357575631214623,9.083029566267244,9.357575631214623,True,7.0830295662672444,True,9.357575631214623,True,19.951128409631956
primary,unconstrained,11259,19,0.7894736842105263,True,9.66844921867431,9.614209171565083,9.66844921867431,True,7.614209171565083,True,9.66844921867431,True,20.498583118081847
primary,unconstrained,11260,22,0.6818181818181818,True,11.872004330692427,10.979142692653758,11.872004330692427,True,8.979142692653758,True,11.872004330692427,True,23.369606834521257
primary,unconstrained,11261,21,0.6363636363636364,True,10.330040774457597,9.789066842797986,10.330040774457597,True,8.71556384304324,True,10.330040774457597,True,22.26217385054516
primary,unconstrained,11262,21,0.7142857142857143,True,11.854655694942897,11.409916479957323,11.854655694942897,True,6.409916479957323,True,11.854655694942897,True,23.274690837053086
primary,unconstrained,11263,16,0.8235294117647058,True,7.707240370361866,6.999867467421915,7.707240370361866,True,6.999867467421915,True,7.707240370361866,True,18.73595348912057
primary,unconstrained,11264,20,0.75,True,12.68486485039947,12.356932474884708,12.68486485039947,True,7.356932474884708,True,12.68486485039947,True,23.41928392603583
primary,unconstrained,11265,21,0.7142857142857143,True,13.759905643416221,11.356316201415472,13.759905643416221,True,5.356316201415472,True,13.759905643416221,True,24.318585646445985
primary,unconstrained,11266,19,0.7894736842105263,True,8.425707862320637,7.422514057739425,8.425707862320637,True,5.422514057739425,True,8.425707862320637,True,19.417460052137095
primary,unconstrained,11267,20,0.75,True,11.407047020344505,10.641893067123153,11.407047020344505,True,8.641893067123153,True,11.407047020344505,True,23.081585139183517
primary,unconstrained,11268,20,0.6666666666666666,True,13.438329710701158,11.157404470011583,13.438329710701158,True,5.157404470011585,True,13.438329710701158,True,23.72341265356915
primary,unconstrained,11269,19,0.7,True,8.730490778125914,7.174426653051102,8.730490778125914,True,7.174426653051102,True,8.730490778125914,True,18.97848269160616
primary,unconstrained,11270,22,0.6818181818181818,True,12.859840794159332,12.559723960973951,12.859840794159332,True,6.55972396097395,True,12.859840794159332,True,23.908114276763907
primary,unconstrained,11271,16,0.7222222222222222,True,7.097721701279425,5.119582337781994,7.097721701279425,False,9.430567033417635,True,7.097721701279425,True,19.122497909512322
primary,unconstrained,11272,19,0.7894736842105263,True,9.3918645303088,7.376905760412843,9.3918645303088,True,5.376905760412843,True,9.3918645303088,True,20.106220815018677
